Comment,Toxic,Severe Toxic,Obscene,Threat,Insult,Identity Hate
How does this become a racial discrimination ??,3.53,0.13,0.95,0.13,1.35,0.33
I can’t express how angry I am in words.,4.2,0.21,1.31,0.21,1.76,0.56
its sad man,3.38,0.11,0.91,0.11,1.28,0.32
Why are the paramedics wearing brown?,3.24,0.11,0.87,0.11,1.24,0.32
Like fr what did george floyd do like what the heck,8.83,0.77,3.04,0.79,3.84,1.48
Black lives matter im sorry for george floyd for his lose🥺,1.07,0.01,0.22,0.01,0.34,0.05
I cried watching this. My heart goes out to his family and friends. George Floyd suffered. I pray you are enjoying a peaceful and heavenly rest. So sad to see you leave the world this way.😥,3.73,0.1,0.96,0.09,1.27,0.26
"They tried to blur it out, but I never seen a license plate that just says ""POLICE""",4.2,0.19,1.21,0.18,1.64,0.47
"The fact that someone stood there, and filmed, instead of tackling the cop off of that man's kneck, is unacceptable.",0.55,0.0,0.09,0.0,0.15,0.01
Why is there a sun during 8pm?,1.25,0.01,0.24,0.01,0.37,0.05
Whyyyyy,8.66,0.75,3.0,0.76,3.78,1.46
He said he couldn’t breathe several times only to land on deaf ears.,12.33,0.54,3.6,0.49,4.18,1.09
and police wonder why we constantly criticize them,1.9,0.03,0.43,0.03,0.64,0.12
That police.... the hell say hi for u,6.28,0.04,1.11,0.04,1.05,0.15
That just wrong,3.91,0.14,1.07,0.15,1.46,0.38
"This looked staged. Look at the EMT's hand gesture and what happened afterwards. 
Besides...I only saw people ""fighting"" for a better recording spot.",1.97,0.03,0.43,0.03,0.57,0.1
There is no scenario where a cop should be allowed to choke you.  Period.  That's simply not a tactic that cops should be allowed to employ.  They have tasers for a reason!,1.66,0.02,0.35,0.03,0.52,0.09
"And yet, the police are given the green light to continue brutalising citizens everyday around the globe.",0.84,0.01,0.17,0.01,0.27,0.03
Everything is age restricted,8.98,0.73,3.02,0.72,3.77,1.43
Y R the POLICE n the ambulance n act n like a EMT..I C it..so do U,5.71,0.13,1.32,0.12,1.71,0.33
"George was not a good man, a guilty fugitive in his life, but it was a police excess.

Gabor from Hungary.",1.17,0.01,0.23,0.01,0.37,0.05
"“Racism isn’t getting worse, it’s getting filmed” - Will Smith
    !!",1.23,0.02,0.26,0.02,0.39,0.06
RIP Floyd.,9.86,0.87,3.37,0.88,4.22,1.67
George Floyd died in the hospital,1.73,0.03,0.37,0.03,0.57,0.1
And police are meant to prevent us from dying and getting hurt like wtf was going on in the officers heads through all this.,1.76,0.03,0.42,0.03,0.63,0.12
Tear tear,7.36,0.54,2.46,0.55,3.16,1.13
"This was a live execution over a SUSPECTED counterfeit bill. This is truly evil, disgusting, heart wrenching.",21.16,0.12,3.44,0.07,3.7,0.32
Who dose that,8.27,0.67,2.82,0.69,3.58,1.34
"Weird that no EMS came out of the ambulance.  EMS always come out, put a neck brace before putting anybody on the stretcher.",70.67,2.55,32.66,1.29,26.56,3.77
😭🤔😡😠🤬,8.66,0.75,3.0,0.76,3.78,1.46
if those 4 dudes go to jail...just imagine what prisoners will do to them i cant even imagine,2.25,0.05,0.53,0.05,0.76,0.16
Murderer!,25.99,1.46,7.98,1.24,8.91,2.52
this is what you call abuse of power,4.72,0.18,1.24,0.18,1.63,0.42
His voice “ I can’t breathe “ repeatedly occurs in my mind. It’s too sad.,1.63,0.03,0.36,0.03,0.54,0.1
They called a ambulance because they killed a man,6.71,0.45,2.15,0.46,2.78,0.96
how did george floyd get arrested for?,5.18,0.26,1.54,0.26,2.01,0.62
When he says..I can't breathe.. And... Mamma..mamma.. That's heart breaking 😰😭😭😭,6.39,0.4,2.03,0.41,2.62,0.88
"the report said he had meth and fentanyl in his system, i have personally seen people high on meth, they stumble around and can barley walk, once he was taken to the squad car he fell, probably because the drugs in his system were taking affect, they moved him from one side of the car to the other, when you try to restrain someone on meth, they become angry and combative, they then pulled him out because he would not calm down, then they held him down attempting to hold him still, but they used a choke like hold on him, the drugs he was on were already messing the with flow of oxygen to his brain, and the additional strain of the hold was too much and he died.  I realize this hold should not have been used, but the knee hold alone should not have killed him, he had harmful drugs in his system and possibly a bad heart when this happened, like when police use a taser to subdue someone it is suppose to knock someone out but if you have a bad heart it has been fatal at times. No one thing killed him, there were many factors involved.",0.19,0.0,0.03,0.0,0.05,0.0
This is so not right. It makes me SICK to my stomach.,2.51,0.05,0.57,0.05,0.8,0.15
SUBTITES IN SPANISH PLEASE THANKS,0.66,0.0,0.11,0.0,0.19,0.02
Unbelievable,5.97,0.34,1.85,0.36,2.42,0.79
"""Medics working on unresponsive, pulseless male""...there are no words.....",1.7,0.03,0.37,0.03,0.56,0.1
"Why do the paramedics have bullet proof vest on, and guns on their hips..? I have never seen that before....",5.25,0.21,1.41,0.2,1.83,0.5
The officer that pinned Floyd's neck with his knee seems to enjoy it,1.66,0.03,0.38,0.03,0.57,0.11
Why is no one wearing masks?,4.0,0.15,1.07,0.14,1.46,0.36
Lol,4.99,0.23,1.48,0.25,1.96,0.58
Again history repeats itself after Rodney king RIP GEOEGE FLOYD,2.43,0.06,0.62,0.06,0.89,0.19
No Weare pipol,12.97,1.09,4.24,1.04,5.09,1.97
Black lives matter protest hit uk and USA so hard I feel sad for floyd,2.39,0.06,0.62,0.06,0.9,0.2
guys why do you actually care about george floyds death when he was acussed of doing somthing wrong and why is any cop in a tv show afensive,2.86,0.09,0.76,0.08,1.07,0.24
Thats crazy,7.04,0.5,2.29,0.5,3.0,1.05
"my blood is boiling while hearing his ""I can't breath"" 😠",4.85,0.25,1.51,0.25,1.94,0.61
A black woman was asked about the killing of George Floyd. She described it as ignorant.,0.79,0.01,0.16,0.01,0.25,0.03
😔😔😔😔😔😔😔😔😔😔,8.66,0.75,3.0,0.76,3.78,1.46
"Poor...really poor victim,,,,",22.4,0.69,5.88,0.6,6.68,1.39
"I almost died the same way as George Floyd. When I was in Pre-K, there were days when my teacher was impatient with me in which I kept wondering why she said I was misbehaving and how was I misbehaving. The teacher dragged me and took me to a very abusive old teacher who hated me because of how I act in which I can’t control (I have autism and couldn’t speak until I was five). My teacher kneeled onto my legs while the other one pulled my arms and kneeled onto my back as she pushed me down, I was unable to breathe. I couldn’t even tell my parents because they were told that I was misbehaving. I was scared.",20.44,0.19,4.6,0.16,3.37,0.51
Not only he told them he can't breathe their was even citizens telling him he's unresponsive,9.45,0.73,3.07,0.72,3.78,1.41
Why didn’t the other people help him,2.83,0.08,0.71,0.08,1.02,0.24
watch as floyd throw TWO white packages on the ground....... 2:12 and 2:24... drugs??? maybe,1.21,0.01,0.24,0.01,0.38,0.05
ACAB,8.66,0.75,3.0,0.76,3.78,1.46
This is so sad,2.39,0.05,0.55,0.05,0.79,0.15
It does not take this many people to control and place in a Car a Man who is already handcuffed and definitely under your control.,2.69,0.07,0.68,0.07,0.96,0.22
If would of did the right thing he would be alive,1.07,0.01,0.21,0.01,0.32,0.05
its too sad,7.93,0.63,2.69,0.65,3.43,1.31
Next time put your brain inside your head not your knee.,81.8,3.75,39.22,2.14,32.76,5.18
I really cryed went they caught him saying he can breath..THIS COP IS MESSED UP HE JUST KEPT HOLDING HIS KNEE ON HIM I WILL NEVER FORGET WHAT HAPPEN TO HIM ...may you rest in peace..,8.7,0.07,1.66,0.06,1.57,0.21
"Oh GOD!! This year is completely demonic

R.I.P GEORGE FLOYD",98.28,7.57,86.47,2.24,71.11,7.32
Why is there a 12 year old narrator on this video?,1.63,0.02,0.32,0.02,0.49,0.08
Are we not going to talk about how everybody just watched and spoke to the officer telling him to stop instead of getting him off of the man.,2.47,0.06,0.61,0.05,0.83,0.17
“I can’t breathe” 👊🏿😞🙏,11.05,1.09,3.93,1.12,4.76,1.99
Isso é o que presenciamos e os fatos isolados lamentável descanse em paz George flod polícias assassinos,7.64,0.59,2.58,0.6,3.32,1.23
"I feel so bad, when he cried “I can’t breathe” almost made me cry 😢 RIP George Floyd",4.39,0.21,1.3,0.21,1.79,0.53
Proven to be a false flag by the deep state. If this was real obeying the law would have prevented all of this. Buff said,76.07,0.29,34.26,0.11,17.59,0.69
pog,8.74,0.76,3.04,0.77,3.84,1.48
He died begging for life what has our world become,5.08,0.28,1.56,0.27,2.08,0.65
Why am I watching this so disgusting. It is fascinating though like the calm before the storm they have no clue what is about to ensue.,1.2,0.02,0.26,0.02,0.4,0.06
Lucky it got filmed... how many more deaths have occurred?,1.87,0.04,0.46,0.04,0.69,0.14
That officer was races,4.16,0.16,1.15,0.17,1.57,0.42
Can you believe Lilo and Stitch also show foot on the neck of Stitch by law enforcement.  Disney promoting violence against innocent?,2.58,0.07,0.69,0.07,0.97,0.2
"Wait...didn't get hear him say I can't breathe??
Don't think I'm being racist or anything if your white be happy because your skin is like a shield 
Black people don't have a shield like y'all just remember that",40.38,0.91,10.95,0.61,10.92,1.67
Who ignores I can't breathe what were they thinking was going to happen curse the police they get what they deserve,1.74,0.04,0.42,0.03,0.63,0.11
They had no reason what so ever to put there knee on his neck.,10.43,0.45,3.67,0.42,3.33,1.1
Jesus 3 car for an unarmed and cuffed man really,4.52,0.2,1.32,0.21,1.77,0.47
The 5 police doesnt have responsability was near them,3.55,0.09,0.84,0.09,1.17,0.26
"Washington pos = CCTV - Chinazi, CCP",4.6,0.21,1.36,0.22,1.85,0.55
Much ado about nothing,5.07,0.16,1.35,0.17,1.71,0.43
The two other officers had their knees on him too. Why lie?,2.19,0.04,0.5,0.04,0.74,0.14
THIS IS DISTURBING,3.95,0.14,1.06,0.14,1.44,0.36
i wish these police officers never see sunlight again,3.53,0.14,0.99,0.14,1.39,0.38
Ehhe,8.66,0.75,3.0,0.76,3.78,1.46
"Bruh they could have at least used some language and some action I do understand we would have been shot but they are white so it should have not matter right if that is y’all logic,",0.52,0.0,0.09,0.0,0.15,0.02
this is so heartbreaking...,3.85,0.13,1.01,0.13,1.37,0.33
"Where are all the face masks on people around the 7:40 mark? Didn't this happen during the Covid ""lockdown""?",8.86,0.44,2.72,0.42,3.13,0.97
"Almost like the officers knew where all the cameras were and tried to make it look like an accident. Thank God for handheld cameras
Officer should start having to go to university now before they take the course, should be a requirement",0.88,0.01,0.17,0.01,0.27,0.03
Nòoooi,8.66,0.75,3.0,0.76,3.78,1.46
"But God
Vengeance is mind 🙏☝
My Condolences to the Family. No-one deserves to die like that.
My ❤ cried, when I kept hearing him say I cant BREATH 😔😔",6.94,0.05,1.2,0.04,1.22,0.14
I don’t think that should happen to anyone even if they stole thousands of dollars,1.58,0.03,0.36,0.03,0.55,0.1
"As an Australian, I could never imagine this. I know I have the privilege as a white person, so don't know the experience of first nations people here in Aus, but it shocks me how scared he is of the police. How I interpret it is that (after reading the transcript released today) he is terrified of being shot and killed by the cops so of course, he doesn't want to go with them. Whatever he'd allegedly done, that is no reason for the death sentence he was given. I could never imagine this occurring in my country (again, I only have the experience as a white woman here in Aus). One big factor I see is that cops are scared of people having guns, so they operate intensely, even when there may be no justification for it. Also, it seems these officers have no idea how to deal with mental illness or drug inebriated cases. From my perspective in Aus, looking at a country that most of the time we take leadership points from, America has lost all sense of reason, morality and common sense.",0.47,0.0,0.07,0.0,0.11,0.01
I feel so bad,7.35,0.56,2.45,0.56,3.16,1.15
Sad,3.71,0.12,0.98,0.13,1.35,0.34
Y the po po n the ambulance..not emt's,1.15,0.01,0.23,0.01,0.36,0.05
When he say i can't breath i can't breath with him😢😢,4.99,0.26,1.49,0.26,2.02,0.62
When he was crying for help my heart dropped 😭,2.45,0.05,0.58,0.05,0.83,0.16
Akjs,8.66,0.75,3.0,0.76,3.78,1.46
Poor floyd,11.86,0.84,3.88,0.83,4.68,1.67
I feel bad for the new officer. He tried to tell his superior to get off Floyd. He was the only one preforming cpr on him until the paramedics arrived. The reason why he didn’t tackle Derek to get off the man is because that was his senior officer and he would of gotten fired for preventing a an arrest.,37.63,0.48,9.15,0.34,7.75,1.1
"𝑾𝑬 ✊🏻 𝑨𝑹𝑬 ✊🏼 𝑻𝑯𝑬 ✊🏾 𝑺𝑨𝑴𝑬 ✊🏿
Edit: wth I thought I was late how did I get this many likes but still were the same  we all were born humans no matter what the cops kneeled on mr Floyd’s neck cuz he was black if he was white they would’ve putten him in jail trust me I know if you ask how I know I just know",1.04,0.01,0.22,0.01,0.33,0.04
Who cares???🤣🤣,8.84,0.76,3.08,0.78,3.81,1.48
i am now wondering what is this world,3.97,0.17,1.13,0.16,1.55,0.41
I am disgusted by the police officers!🤬,3.11,0.11,0.86,0.11,1.22,0.31
How does one use claustrophobia as an excuse for not getting in a car,1.35,0.02,0.27,0.02,0.41,0.06
This is hard to watch those police officers make me sick!,6.3,0.08,1.19,0.07,1.53,0.22
I hope that white officer can’t breath one day just wow,1.02,0.01,0.2,0.01,0.32,0.04
Zzzzzzzzzzzzzz.......,8.66,0.75,3.0,0.76,3.78,1.46
Poor guy that's soo saf,6.14,0.38,1.97,0.39,2.58,0.88
I’m so heated because you can literally watch the officer press his knee forward and down further after floyd said he couldn’t breath. I’m sorry but this evidence is screaming guilty.. oh it’s time stamp 4:51  btw,56.35,0.02,10.41,0.01,5.19,0.07
"One thing you'll never, ever see: the videos from these 4 cops chest cameras.",60.63,0.4,15.0,0.21,11.73,0.76
He got in on the drive side and got out the passenger side. Floyd was blowed out his mind... like high as a kite...,6.75,0.39,2.04,0.38,2.65,0.85
Why did he have to die,26.92,0.63,7.11,0.48,7.02,1.15
Where are them ambulance people from? They didn’t even look like they checked him before picking him up ? Looks so unreal?,5.27,0.29,1.65,0.27,2.2,0.65
Terible,8.66,0.75,3.0,0.76,3.78,1.46
"Please. look at him shouting ""I can't breath""",0.61,0.0,0.1,0.0,0.17,0.02
Didn't know he was using counterfeit cash.,3.35,0.11,0.91,0.12,1.27,0.32
Hi,4.48,0.18,1.28,0.2,1.73,0.49
Who cares about George Floyd?,5.33,0.3,1.63,0.3,2.19,0.69
Why would cops do this? police are meant to protect us,1.72,0.03,0.37,0.03,0.56,0.1
"“To be cruel is to be coward.” 
― Lailah Gifty Akita",3.54,0.12,0.94,0.12,1.3,0.32
Wondering if he had something else going on. He had a hard time getting up to his feet on the sidewalk at the initial stop. Then he dropped to his knees like his legs just gave out when they were putting him in the patrol car.  This was well before the cop had his knee on Mr Floyd’s neck. RIP SIR.,0.97,0.01,0.19,0.01,0.29,0.04
"Corona, racism
2020 is literally cursed, man",3.69,0.16,1.09,0.15,1.48,0.43
I feel like this was a set up how did he know that he was going to get killed it just doesn’t add up,3.22,0.12,0.91,0.11,1.29,0.33
8.46- George Floyd. 8.46 - first plane on 9/11. There are no coincidences.  George Floyd did not deserve to die.,24.6,0.6,6.71,0.47,6.3,1.07
Looks like everyone of those officers are kneeling on him.,11.58,0.76,3.48,0.76,4.42,1.51
The plastic bag he had hooped earlier had broken open and began poisoning him.  Why was that info not included in the video?,2.04,0.05,0.5,0.04,0.74,0.15
This is unacceptable,2.21,0.05,0.5,0.05,0.73,0.14
Who cares? These people don't. Look at the damage.,2.65,0.07,0.67,0.07,0.95,0.19
No justice no peace,9.94,0.9,3.46,0.92,4.2,1.7
And the worse part of all of this is it wasn’t even counterfeit money.,1.06,0.01,0.2,0.01,0.32,0.04
I almost cried when he said he couldn’t breathe,6.29,0.41,2.01,0.41,2.61,0.91
Lol,4.99,0.23,1.48,0.25,1.96,0.58
"Who Would Do That,They Are Real Monsters.",8.48,0.48,2.52,0.47,3.12,0.98
why police officer was in ambulance ? Oo its normal ? why they got all difirent badges ?,1.07,0.01,0.17,0.01,0.27,0.03
The fact that that the officer remained with his knee on his neck even after he called for a code 3 just makes me sick,0.29,0.0,0.04,0.0,0.08,0.01
I mean it was his own fault he resisted arrest to be honest if you pay attention to some of the other videos,4.15,0.17,1.17,0.17,1.56,0.44
anyone notice the dates on the cameras are different? goes from 05-25 to 05-26... that’s sketchy,0.62,0.0,0.11,0.0,0.18,0.02
That was disgraceful behaviour I would have bit the police officers,1.63,0.03,0.36,0.03,0.53,0.09
Mr thao Just Push a man ho do nothing guarding Mr chauvin,3.27,0.11,0.92,0.11,1.25,0.3
When he said “please please I can’t breath” I cried so bad those officers r sick all lives matter,4.42,0.19,1.31,0.18,1.64,0.45
"Not that different than lynching. 
Don’t know what’s worse, him getting the same treatment or rotting like a corpse in jail.",0.63,0.0,0.1,0.0,0.17,0.02
If you think this is disgusting reply to this with the fist emoji in your skin colour ✊🏻,0.27,0.0,0.04,0.0,0.06,0.0
No excuse on dope,6.72,0.47,2.2,0.46,2.88,1.03
RIP George Floyd and all but wasn’t he technically on meth and was saying he couldn’t breathe before he was on the ground and he technically od’d he didn’t get killed by the cop,2.0,0.04,0.46,0.04,0.68,0.13
Why was he holding this man down like that when the poor man was unconscious,0.6,0.0,0.1,0.0,0.17,0.02
"GEORGE FLOYD  I FEEL HAD DIED ON THE ROAD.
I BELIEVE  THAT THEIR TRYING TO SAY HE DIED AT THE HOSPITAL. 

BECAUSE IF THEY PUT IT INTO WRITING  THAT HE DIED ON THE SCENE THEN  THE OFFICERS  WOULD GET MORE CHARGES AGAINST  THEM.",6.74,0.03,1.13,0.03,1.07,0.12
I bet the cops homes and computers didnt get checked over for evidence ??,2.08,0.05,0.5,0.05,0.74,0.16
I literally whatever he said I can't breathe they just ignored him and he said it quite clear and ever since this happened I've just been scared because my dad is black so I've been very scared So😭😭😭😭😭😨,1.74,0.03,0.4,0.03,0.59,0.11
It’s odd. Why did they intubate him in the hospital if those were his final moments? 🤔,1.3,0.02,0.27,0.02,0.42,0.06
Hard not to feel rage. Patience be with us,4.37,0.21,1.3,0.2,1.75,0.5
Why is gas .99 cents ? Something doesn’t add up,2.38,0.05,0.56,0.05,0.81,0.16
Why were there there no EMTs on site only police came out of the Ambulance?,1.17,0.01,0.2,0.01,0.32,0.04
Unacceptable rasicm we need too stop this. Its just how can u be like that. Yellow purple black white we are all the same.,6.04,0.38,1.89,0.37,2.49,0.81
"Language:American/English
Topic:Riots/Racism.",0.46,0.0,0.07,0.0,0.13,0.01
"So, here’s my mostly non biased view.

I’m a paramedic, so I’ve seen this happen before. When you have three men putting their full weight on someone pinned on the ground, your heart is not able to act as a forward pump as it’s supposed to. Even if you are able to move air in and out of your body, you’re getting no oxygen to your brain because the heart is not able to effectively pump blood where it needs to go.",46.21,0.09,8.3,0.04,6.81,0.21
Christ,4.67,0.2,1.36,0.22,1.83,0.53
"I heard that they found out he didn’t actually forfeit money, it just seemed fake. That’s unacceptable. And even if he forfeited money, you don’t get killed for that, you go to jail, or custody! Not acceptable",4.24,0.07,0.88,0.06,1.24,0.21
Oh come on a most coppers are corrupt all over the world,99.13,8.77,90.73,2.05,79.67,7.14
Looks like the coppers pushing down to me.,4.75,0.21,1.37,0.22,1.82,0.52
4:44 it's just sad to hear George begging for them to stop even tho they dont stop,1.87,0.03,0.44,0.03,0.64,0.11
"Dude, this made homicide rates increase.",0.86,0.01,0.16,0.01,0.26,0.03
at some point a group of people could have over powered the cops and yes some one would have probably got shot but everyone was too scared to help him. that is what i find sad,0.63,0.0,0.11,0.0,0.19,0.02
It was the 25th of may during COVID and not one person is seen with a mask.,0.59,0.0,0.1,0.0,0.16,0.02
I'm sad and black life's matter,6.14,0.37,1.95,0.38,2.51,0.87
"It's one thing to continue to keep your knee on someone's neck, another to only remove it when the PARAMEDICS demand you too",1.79,0.02,0.33,0.02,0.5,0.07
Far worse happens in the wider world.,2.8,0.08,0.72,0.08,1.03,0.24
"Great reconstruction from different videos, thanks.
So, they are not using TASERs anymore ? 
I remember Police using TASERs on anyone (old, young, mentally disturbed, slightly uncooperative, threatening, fearful) without any ability to discern the differences.",0.43,0.0,0.07,0.0,0.11,0.01
This is just so unacceptable that police should be hung,5.79,0.11,1.26,0.11,1.56,0.28
"There's a lot in this video that makes me ask, what is really happening?!  The Asian cop, his badge is an iron on!  The ""cop"" with his knee on George, watch him look up to make sure everyone is seeing him do it.  But, as a trained EMT, huge mistakes....No trained EMT would put that guy on a gurney with the cuffs still on, and we always use the backboard for this type of injury.  The neck brace would def. have been put on.  As an EMT seeing that knee on the neck, I would use my training in a situation like this, EVERY TIME!  It would be automatic!  There's so much out of the ""norm"" with this that I find myself wondering if we've been duped into a race war.",3.11,0.0,0.42,0.0,0.41,0.02
"He said he cant breathe but the officer still didnt get his leg off, atleast he couldve put his leg up a little bit to see if george was lying, these people dont realize what they are doing to the world. 😔☹️😥
I hope he is resting peacefully in heaven. 🙏🏻🙏🏻🙏🏻",29.17,0.37,8.02,0.23,6.5,0.8
So do cops normally pull up in ambulances and pick victims/suspects up?  That's the first time I've seen paramedics in state trooper color uniforms?,0.5,0.0,0.09,0.0,0.15,0.01
They swapped him out for a dummy! Watch the video of them picking up the “body” it has no legs on him! Plus look at his hair when he was walking with the cops compared to the dummy which was hairless! Why was the casket only measuring 6ft1 when he was 6ft6? The elites are playing everyone for fools!,1.11,0.01,0.23,0.01,0.36,0.05
Why won't they show the first video anymore. Totally removed. And the video from the lady Dr who ripped it apart. vanished.,0.39,0.0,0.06,0.0,0.11,0.01
Riot.,7.02,0.5,2.32,0.51,3.0,1.08
This is breaking my heart to watch I am in tears. George floyd deserves justice.,1.32,0.01,0.27,0.02,0.36,0.06
What his mum must think feel so sorry for the family hope that cop gets it what goes around comes around cos they was bullied when they was kids so they became cops and bully others,0.56,0.0,0.1,0.0,0.16,0.02
OD,6.6,0.44,2.15,0.45,2.79,0.97
"OK now I really want a revolution to start.Democracy has went too far.They need a king to control the people and I am god damn sure Trump will not be suitable.He can't control the government,he can't control himself.He is just looking for problems.",1.39,0.02,0.32,0.02,0.48,0.08
"anyone else noticed that  the camera showed ""5-25-2020 at 20:30"", approximately, but when the cop mentions that hes ""going to get an ambulance for his buddy"" the body cam time shows ""5-26-2020 at 1:27pm""????",0.27,0.0,0.04,0.0,0.07,0.0
He was legit begging please to stop he even said he couldn’t breathe they have to take all the power away from the police. I hope this is seen and heard. Rest In Peace George Floyd you did not have to die.,8.17,0.06,1.5,0.04,1.67,0.16
What is a Ford Mercury?,4.42,0.2,1.26,0.19,1.74,0.49
"watches leaked footage released a couple days ago

lmao its all built on a lie",11.61,0.95,3.75,0.91,4.64,1.72
"Why did you edit out the cop telling him to get in the car while kneeling on his neck, he says I will if you let me up, ...?
It's so infuriating to listen to. 
Why did you hide that part? It's one of the most telling pieces of evidence in this case, showing how sadistic that cop was. 
Also, why didn't you include the rookie cop asking if the should roll him over?",0.42,0.0,0.07,0.0,0.11,0.01
this the world.,4.83,0.21,1.38,0.22,1.84,0.53
"Did he say "" Please, I can't breathe?"" 😢",2.42,0.05,0.58,0.05,0.85,0.17
"Honestly the policeman who had his knee on George’s neck was just resting his knee on his neck, applying more pressure which made him suffocate.",2.06,0.05,0.52,0.05,0.77,0.15
these cops dont deserve to be a cops.,4.84,0.23,1.42,0.24,1.89,0.57
why are there police come out of the ambulance? and not medial personnel?,2.01,0.03,0.44,0.04,0.64,0.11
похуй,8.66,0.75,3.0,0.76,3.78,1.46
The fact that he keeps his knee on his neck til the Ambulance arrives even though they know they killed him?,0.33,0.0,0.05,0.0,0.09,0.01
they would of done to a white person too,2.82,0.09,0.72,0.08,1.03,0.24
"Where thos officers come from, didnt see no police car at first.  Why nobody at all have a mask on? Maybe this video was b4 covid19",1.74,0.03,0.41,0.03,0.57,0.09
Dont even know why you all are yelling in the comments as if it makes a difference your word is just as worthless as mine and the next commenter,1.1,0.01,0.22,0.01,0.34,0.04
So sorry,3.61,0.12,0.96,0.13,1.34,0.34
"I can vote
I can protest
I can’t breathe",4.34,0.2,1.26,0.2,1.71,0.49
This is PURE EVIL. OMG. There are no words to describe this. All 4 have to have a lifetime in prison! So that the inmates can take care of them. Such a beautiful gentle giant. OMG George. I can't stop crying.,0.16,0.0,0.02,0.0,0.04,0.0
"In Mexico, the cop who knelt on Lloyd's neck would have been pushed to the ground by other civilians and other officers would be swarmed with civilians. This is not right.",0.6,0.0,0.1,0.0,0.17,0.02
Let restart The Black Panthers,4.93,0.22,1.44,0.23,1.92,0.57
"I thought they were meant to be a hero, but nope, instead you make it worst.",2.52,0.07,0.65,0.07,0.94,0.21
I believe the officer was put into a jail with almost half of the inmates being black. I don't know how well his story will go down with them...,20.35,0.27,4.57,0.24,3.94,0.72
These officers did nothing but inspire new cop killers,1.62,0.03,0.37,0.03,0.54,0.1
Why do that my bff is a different color and she would never let her dad die like that,25.54,0.37,5.68,0.28,5.48,0.84
Люди и негры равны!,8.66,0.75,3.0,0.76,3.78,1.46
"I’d this doesn’t outrage you, think about if this was your child!!!",6.51,0.21,1.62,0.2,1.94,0.49
"It’s really weird how they just put him on the stretcher and took off with him. Didn’t try to perform any kind life saving procedure.?  
Something doesn’t add up.",39.71,0.62,10.43,0.42,8.92,1.32
Only true black will have any ideal what George was all about,2.33,0.06,0.6,0.06,0.85,0.17
MARQUISE LOVE  a wanted man running ...so brave   you know whats commin don't ya.,5.55,0.03,0.77,0.02,1.07,0.1
Sis8siei i,9.06,0.82,3.21,0.83,4.02,1.59
You know what's so sad about the whole situation we are fighting for our rights as black. But look at the black cops. Every black cop in America should resign in March.Because this helps d kids just as well as any other black kids in the future.. but they thinking about the bills.come on black people staying up think about it if you resign from being a police don't you think that everyone will come together and set up some type of Sivan account to help all black cops don't you use your mind and think very well never let the enemy get the best of us why we can't win we can overcome anything if we all stick together life is what you make out of it if you don't stand for something you will fall for anything always remember the enemy has to be defeated only if you apply pressure applying pressure to anything will break anything always remember that never been neverfull Lori Martin let's March know is not a white or black thing it is a race thing we are tired of this tired of being beat brutalize killed hung what's next huh how would the world will really feel if we had to come together with the Iranians to help us how much I feel we had to come together with all the foreigners you see is all begin with in self...are they all black men's and Ladies as in the army to Marines the air Force on a police force quit resign your job lets March let's get this law let's March it on out to the White House..United States the land of freedom never was until we get this lot done let's March it out in every state every country in the world let's push it we pushing cuz this do not go on just in the United States that goes on in the whole world so let's push it we pushing it and pushing and pushing it till we get our see so it's no more listening it's no more talking it's just walking..!??!,0.4,0.0,0.08,0.0,0.13,0.01
And 2020 continues to get worse,8.17,0.66,2.76,0.68,3.49,1.31
Why did they stay after they made the purchase?? Especially after they were confronted by the employees over the fake bill..they just stayed there,0.32,0.0,0.05,0.0,0.09,0.01
That would have happened ever if he was white right?!,1.82,0.03,0.4,0.03,0.58,0.1
Wouldn't there be more people wearing masks in public if this was May 25th?  Only 2 cops and a blue-shirted bystander at 5:58 are wearing them. Seems weird.,1.23,0.01,0.25,0.01,0.37,0.05
Why didnt the guy filming not do anything he's just standing there filming him suffering just because of the coulor of his skin,29.19,0.06,5.27,0.04,3.64,0.22
"""Please, Please man i cant breath"" that one goes deep inside my soul. RIP GEORGE FLOYD MY HEART IS WITH YOU",0.12,0.0,0.01,0.0,0.02,0.0
"If I ever see Chauvin in person... You know what's going to happen. The hacker ""Anonymous"" said he will do anything to get justice for George and I'm never going to trust a cop in my life again and I'm only 11 and the other day I was on my bike with my brother and friend and we got pulled over for ""Driving a bike unsafely"" because we didn't have helmets and he threatened to arrest us for talking back and I was the oldest there so I was the kid that got threatened the most and I had knots in my stomach for a few days and I didn't even go out my house until I felt safe again",3.49,0.09,0.98,0.09,1.2,0.28
"Ok dont come at me but i dont think he died in the oringinal video of him he has hair wall being arrested in handcuffs than he is bald when on the floor dying and the goverment wanted drama so ""killed"" flyod",2.98,0.05,0.71,0.05,0.84,0.19
THE COP IS INNOCENT FLOYID IS IN THE WRONG,1.95,0.04,0.44,0.03,0.65,0.11
"people records him being choked:

george floyd goes limp: ",13.65,1.1,4.57,1.1,5.29,2.11
"No person’s life is worth $20. No matter what their skin color is. This goes way beyond how he lived and how he died. This is the very DEFINITION of “cruel and unusual punishment” that’s mentioned in the constitutional amendments. Even if he was a criminal, he didn’t deserve to publicly executed in this way. Even those on death row aren’t broadcast in such a sick manner.",2.16,0.01,0.37,0.01,0.47,0.04
